id,adr,available,axles,checked,code,fixed_legs,genset,license_plate,loading_capacity,location,lzv,owner,rdw_fields,type,updated,weight
dcafcf18-d461-4d56-ac9c-012b70b78f17,False,True,[],False,3916,False,False,LHK-80-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:31.877Z,5000
35446b1c-dc32-4844-89c9-2aed108297b5,False,True,[],False,3917,False,False,LHK-81-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:31.886Z,5000
5cc2bbe9-e9f2-4d24-bd9a-ffd28d0b0c8d,False,True,[],False,3918,False,False,LHK-82-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:31.895Z,5000
153ecb18-fa3e-4e76-ad0f-ff0af7eca2d6,False,True,[],False,3919,False,False,LHK-83-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:31.903Z,5000
afc5375f-a8c1-4bd2-a83b-81e6f83e7b08,False,True,[],False,3920,False,False,LHK-84-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.012Z,5000
ba4720da-177c-40bf-94ea-ff187ff727ed,False,True,[],False,3921,False,False,LHK-85-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.021Z,5000
28192493-d724-4924-835b-7c846594abad,False,True,[],False,3922,False,False,LHK-86-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.029Z,5000
e1eb34c0-2448-4329-bad6-36b1091c3a4b,False,True,[],False,3923,False,False,LHK-87-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.039Z,5000
aa95ed29-4880-46fb-9ca4-8b7168bfd24d,False,True,[],False,3924,False,False,LHK-88-G,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.048Z,5000
5d0331b2-b5a5-405a-a3ce-3f1392e4dea5,False,True,[],False,3925,False,False,BUISCAR 3925,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.058Z,5000
63b7286c-f491-4593-8880-55997a4a01e3,False,True,[],False,3926,False,False,BUISCAR 3926,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.067Z,5000
671f3c51-179c-440d-8505-68edf7a282fd,False,True,[],False,3927,False,False,BUISCAR 3927,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.077Z,5000
93ebdc44-b0bf-4713-8999-f6cc13282878,False,True,[],False,3928,False,False,BUISCAR 3928,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.085Z,5000
ef37c320-e788-47f9-a1bb-d4bf4a6624f3,False,True,[],False,3929,False,False,BUISCAR 3929,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.095Z,5000
785cb144-39c0-4588-8997-a6a64742cb2b,False,True,[],False,3930,False,False,BUISCAR 3930,0,dd49fb95-0736-4b98-aa98-7a19a57e15cf,False,dd49fb95-0736-4b98-aa98-7a19a57e15cf,[],slider,2024-02-29T08:27:32.104Z,5000
